word,embedding_1d
al,-0.005909085
peso,0.0017748639
frente,-0.015448934
dólar,-0.033183023
de,0.018087368
el,-0.0069695394
impulsa,0.023920333
colombiano,-0.010990082
fortalece,0.0023756593
en,0.008726842
del,-0.02049517
la,0.009625895
por,-0.007103232
los,0.0476888
internacionales,0.014604357
precios,0.006488089
colombia,5.787825e-05
sobre,-0.026088735
exportaciones,0.013271968
caída,-0.012985605
país,0.007893155
petróleo,0.018238684
café,-0.0086646285
fiscal,0.004178166
deuda,-0.026477773
y,-0.00013066379
eeuu,-0.0030050809
reducción,0.015509494
mercados,0.029904034
baja,0.019245066
corriente,0.009040712
a,-0.0039549298
las,-0.014049453
inversión,0.005385518
extranjera,-0.018440656
acuerdos,0.0020256513
global,-0.0040096324
directa,-0.015836397
reservas,0.015018602
confianza,0.030081065
reforma,-0.009791602
banco,0.014908962
república,0.01769995
aumento,-0.02107365
riesgo,-0.017272754
interés,0.004320216
tasas,-0.009069655
externa,0.0025605066
inflación,-0.016260058
recorte,0.014846589
informes,-0.027000837
agencias,0.023845294
estabilidad,-0.001573244
crecimiento,0.0046853987
económico,0.010632235
crediticia,-0.0076248082
datos,-0.013883521
lo,0.010864762
esperado,0.00909692
prima,-0.036343373
cuenta,-0.010286203
anuncio,-0.027388558
alza,0.0023735033
alerta,0.034074545
recalificación,-0.0076909564
comercio,-0.015327205
libre,-0.028204177
negativa,0.001889437
negociación,0.014269108
éxito,-0.028800914
temor,0.016902903
déficit,0.010383122
mejor,0.010652954
colombiana,-0.02763127
extensión,0.0015537775
guerra,-0.010426126
comercial,-0.014664481
entre,-0.024842005
china,0.036890876
encima,-0.020843077
expectativas,-0.0024387997
desempleo,-0.0069243084
subida,0.03896841
clave,-0.008566789
respaldo,0.015160909
organismos,-0.01822285
multilaterales,0.018341575
altos,-0.017369272
recesión,-0.0032356728
mejora,0.010651745
consumidor,0.018960979
cierre,0.0031713014
comerciales,0.03304683
más,-0.0030513036
alimentos,-0.015342944
protestas,-0.01892998
revisión,-0.009842062
manufacturero,0.009432255
sector,0.024428653
desempeño,0.0084483065
bajo,0.0052115927
para,0.0026596515
rating,0.0016718666
positiva,0.0056672697
colombianos,0.017064283
proyección,-0.038458057
consumidores,0.018274095
impopular,0.030190578
tributaria,0.02577831
debate,-0.01769647
recaudación,-0.0053421156
positivas,-0.015880872
noticias,-0.00086566276
recuperación,0.024114044
turismo,0.018033631
extranjero,0.014379454
incertidumbre,0.019874083
capitales,0.02152474
fuga,0.009895187
genera,0.03972231
que,-0.012858611
política,0.0023846498
inestabilidad,-0.01922775
presión,0.005287137
reduce,0.0068004853
tasa,0.0070414194
descenso,0.022548083
calificación,-0.0064131306
elecciones,0.008854013
próximas,-0.018235322
antes,-0.0035653256
electoral,-0.0048461384
superávit,-0.003995719
exportación,0.009736289
masivas,-0.02253416
trimestre,0.008396753
proyecciones,0.01919032
retroceso,-0.0037272358
remesas,-0.015173489
entrada,-0.020901652
fuerte,-0.018450597
devaluación,-0.0203138
especulación,0.009992584
récord,0.013892413
excelentes,-0.01499144
favorables,-0.021884792
monetarias,-0.023791367
políticas,-0.0045412695
moderación,0.006251928
principales,0.0025048398
carreteras,-0.003152174
bloqueos,0.002063333
fortalecimiento,0.01596452
moneda,-0.0045934403
local,0.00081002055
tras,-0.016768942
crudo,0.0020649096
precio,-0.019307029
minerales,-0.012132732
carbón,-0.04477896
bonanza,0.010034577
sostenibilidad,0.003787922
preocupaciones,0.01803907
pública,-0.0018605553
dudas,-0.018418284
emergentes,-0.027661065
volatilidad,-0.009607548
ingresos,0.03375465
disminución,0.008729347
afecta,0.004859278
económica,0.0029233117
gobierno,-0.020536304
