ID,categoria
271,Entretenimiento
165,Deportes
397,Deportes
879,Deportes
777,Deportes
491,Deportes
972,Deportes
813,Entretenimiento
686,Entretenimiento
238,Entretenimiento
802,Otros
678,Deportes
43,Entretenimiento
593,Educación
613,Entretenimiento
999,Entretenimiento
590,Entretenimiento
862,Otros
74,Educación
308,Educación
504,Educación
583,Entretenimiento
749,Educación
751,Película y Animación
814,Película y Animación
641,Educación
975,Entretenimiento
277,Deportes
293,Entretenimiento
398,Otros
423,Película y Animación
895,Película y Animación
186,Película y Animación
119,Película y Animación
869,Película y Animación
138,Película y Animación
842,Película y Animación
76,Película y Animación
936,Película y Animación
477,Película y Animación
433,Película y Animación
615,Deportes
229,Deportes
695,Educación
66,Entretenimiento
917,Entretenimiento
322,Deportes
938,Otros
242,Entretenimiento
436,Deportes
934,Entretenimiento
774,Entretenimiento
354,Entretenimiento
202,Entretenimiento
735,Educación
14,Deportes
441,Película y Animación
951,Película y Animación
761,Educación
333,Educación
644,Otros
880,Película y Animación
153,Entretenimiento
378,Entretenimiento
431,Educación
413,Deportes
640,Entretenimiento
363,Otros
726,Otros
649,Otros
604,Educación
713,Educación
41,Película y Animación
808,Educación
95,Entretenimiento
815,Entretenimiento
162,Película y Animación
447,Entretenimiento
347,Entretenimiento
320,Otros
337,Educación
971,Entretenimiento
356,Deportes
796,Educación
113,Educación
221,Educación
602,Educación
702,Educación
514,Educación
821,Educación
775,Deportes
724,Entretenimiento
706,Película y Animación
687,Entretenimiento
190,Educación
367,Educación
717,Película y Animación
49,Película y Animación
835,Película y Animación
801,Deportes
268,Deportes
336,Película y Animación
299,Película y Animación
757,Deportes
723,Deportes
63,Película y Animación
677,Deportes
207,Otros
572,Otros
625,Entretenimiento
956,Entretenimiento
254,Deportes
68,Deportes
175,Entretenimiento
407,Deportes
708,Película y Animación
210,Entretenimiento
222,Educación
316,Otros
490,Deportes
219,Película y Animación
544,Película y Animación
816,Deportes
141,Otros
399,Deportes
298,Deportes
733,Entretenimiento
451,Entretenimiento
783,Entretenimiento
567,Entretenimiento
770,Película y Animación
124,Entretenimiento
12,Entretenimiento
56,Entretenimiento
964,Película y Animación
123,Deportes
264,Deportes
522,Deportes
891,Deportes
797,Deportes
669,Deportes
955,Deportes
663,Entretenimiento
115,Educación
169,Entretenimiento
741,Entretenimiento
145,Entretenimiento
118,Entretenimiento
191,Entretenimiento
915,Educación
295,Entretenimiento
629,Entretenimiento
683,Entretenimiento
351,Entretenimiento
621,Entretenimiento
581,Entretenimiento
429,Educación
288,Entretenimiento
985,Entretenimiento
535,Entretenimiento
199,Entretenimiento
270,Entretenimiento
314,Entretenimiento
157,Entretenimiento
742,Entretenimiento
913,Entretenimiento
37,Entretenimiento
591,Entretenimiento
89,Entretenimiento
328,Entretenimiento
860,Entretenimiento
825,Entretenimiento
61,Entretenimiento
841,Entretenimiento
350,Entretenimiento
480,Entretenimiento
705,Entretenimiento
445,Entretenimiento
782,Entretenimiento
805,Entretenimiento
878,Entretenimiento
550,Educación
838,Entretenimiento
108,Entretenimiento
791,Entretenimiento
59,Entretenimiento
853,Deportes
335,Deportes
232,Educación
60,Educación
223,Deportes
462,Deportes
416,Deportes
272,Deportes
8,Deportes
151,Deportes
104,Película y Animación
83,Educación
658,Entretenimiento
864,Película y Animación
