ID,categoria
271,Entretenimiento
165,Deportes
397,Deportes
879,Deportes
777,Deportes
491,Deportes
972,Deportes
813,Entretenimiento
686,Entretenimiento
238,Entretenimiento
802,Otros
678,Deportes
43,Otros
593,Otros
613,Otros
999,Otros
590,Entretenimiento
862,Película y Animación
74,Entretenimiento
308,Entretenimiento
504,Película y Animación
583,Película y Animación
749,Película y Animación
751,Película y Animación
814,Película y Animación
641,Otros
975,Entretenimiento
277,Otros
293,Película y Animación
398,Deportes
423,Película y Animación
895,Deportes
186,Deportes
119,Película y Animación
869,Película y Animación
138,Película y Animación
842,Película y Animación
76,Película y Animación
936,Película y Animación
477,Entretenimiento
433,Película y Animación
615,Deportes
229,Deportes
695,Película y Animación
66,Otros
917,Otros
322,Deportes
938,Película y Animación
242,Entretenimiento
436,Deportes
934,Entretenimiento
774,Entretenimiento
354,Entretenimiento
202,Entretenimiento
735,Otros
14,Película y Animación
441,Deportes
951,Deportes
761,Película y Animación
333,Deportes
644,Otros
880,Entretenimiento
153,Entretenimiento
378,Entretenimiento
431,Película y Animación
413,Deportes
640,Entretenimiento
363,Otros
726,Otros
649,Otros
604,Otros
713,Entretenimiento
41,Otros
808,Entretenimiento
95,Entretenimiento
815,Entretenimiento
162,Película y Animación
447,Entretenimiento
347,Entretenimiento
320,Entretenimiento
337,Otros
971,Entretenimiento
356,Deportes
796,Entretenimiento
113,Entretenimiento
221,Entretenimiento
602,Entretenimiento
702,Entretenimiento
514,Otros
821,Entretenimiento
775,Deportes
724,Película y Animación
706,Película y Animación
687,Entretenimiento
190,Otros
367,Película y Animación
717,Película y Animación
49,Película y Animación
835,Otros
801,Deportes
268,Deportes
336,Película y Animación
299,Deportes
757,Película y Animación
723,Deportes
63,Entretenimiento
677,Película y Animación
207,Otros
572,Película y Animación
625,Entretenimiento
956,Entretenimiento
254,Deportes
68,Deportes
175,Película y Animación
407,Deportes
708,Película y Animación
210,Otros
222,Otros
316,Otros
490,Deportes
219,Entretenimiento
544,Deportes
816,Deportes
141,Película y Animación
399,Película y Animación
298,Otros
733,Entretenimiento
451,Entretenimiento
783,Entretenimiento
567,Entretenimiento
770,Deportes
124,Otros
12,Entretenimiento
56,Entretenimiento
964,Otros
123,Deportes
264,Deportes
522,Deportes
891,Deportes
797,Deportes
669,Deportes
955,Deportes
663,Entretenimiento
115,Entretenimiento
169,Entretenimiento
741,Entretenimiento
145,Entretenimiento
118,Entretenimiento
191,Entretenimiento
915,Entretenimiento
295,Entretenimiento
629,Entretenimiento
683,Entretenimiento
351,Entretenimiento
621,Entretenimiento
581,Entretenimiento
429,Entretenimiento
288,Entretenimiento
985,Entretenimiento
535,Entretenimiento
199,Entretenimiento
270,Entretenimiento
314,Entretenimiento
157,Entretenimiento
742,Entretenimiento
913,Entretenimiento
37,Entretenimiento
591,Entretenimiento
89,Entretenimiento
328,Entretenimiento
860,Entretenimiento
825,Entretenimiento
61,Entretenimiento
841,Entretenimiento
350,Entretenimiento
480,Entretenimiento
705,Entretenimiento
445,Entretenimiento
782,Entretenimiento
805,Entretenimiento
878,Entretenimiento
550,Entretenimiento
838,Entretenimiento
108,Entretenimiento
791,Entretenimiento
59,Entretenimiento
853,Deportes
335,Deportes
232,Otros
60,Otros
223,Deportes
462,Película y Animación
416,Deportes
272,Deportes
8,Deportes
151,Deportes
104,Deportes
83,Otros
658,Entretenimiento
864,Deportes
